LC029890	#cc3333	dog
U22650	#cc3333	dog
KX148231	#cc3333	dog
EU853621	#cc3333	dog
KF022176	#cc3333	dog
KT119755	#cc3333	dog
KF734703	#cc3333	dog
KF734705	#cc3333	dog
U22644	#cc3333	dog
KT119779	#cc3333	dog
KT119774	#cc3333	dog
KT119767	#cc3333	dog
EU888663	#cc3333	dog
KR080522	#cc3333	dog
EU853657	#cc3333	dog
EU853655	#cc3333	dog
EU853656	#cc3333	dog
MF773574	#cc3333	dog
MN196570	#cc3333	dog
MN196569	#cc3333	dog
FJ465385	#66cc84	feline
FJ465408	#cc5633	Galerella sanguinea
AF079924	#cc666a	Suricata suricatta
JN162077	#99ccac	25685866
FJ392371	#cc339e	Cynictis penicillata
JQ692999	#cc6679	Galerella pulverulenta
FJ465391	#cc5633	Galerella sanguinea
MG458308	#cc9566	mongoose
KX148221	#a499cc	squirrel
KX148173	#99aacc	Vulpes vulpes
U22629	#cc6a66	-
KT119772	#cc3333	dog
MZ418095	#cc3333	dog
MZ418096	#cc3333	dog
AY605032	#9dcc66	15991708
AY605039	#9dcc66	15991708
EU853572	#69cc33	Homo sapiens
GU798255	#69cc33	Homo sapiens
GU798161	#cc99ba	Felis silvestris catus
AY138571	#69cc33	Homo sapiens
KC787059	#cc3333	dog
KC787054	#999ccc	Felis catus
KC787052	#69cc33	Homo sapiens
KC787073	#cc3333	dog
KC787067	#69cc33	Homo sapiens
KC787072	#999ccc	Felis catus
LC380182	#cc3333	dog
LC683180	#c8cc66	Bos taurus
LC682838	#cc3333	dog
KX148208	#cc3333	dog
U22651	#cc3333	dog
KX148230	#cc3333	dog
EU853645	#cc3333	dog
EU478508	#cc3333	dog
KX148229	#cc3333	dog
EU827275	#cc3333	dog
U22915	#cc3333	dog
KP976113	#cc3333	dog
KX148235	#cc3333	dog
MN049984	#cc3333	dog
FJ545669	#cc3333	dog
FJ545670	#cc3333	dog
KX148107	#999ccc	Felis catus
HM368100	#cc3333	dog
AY854600	#cc3333	dog
KJ922001	#cc3333	dog
KJ922002	#cc3333	dog
KJ921997	#cc3333	dog
KJ922000	#cc3333	dog
EU888717	#cc3333	dog
EU888720	#cc3333	dog
FJ545679	#cc3333	dog
KT119773	#cc3333	dog
MN196558	#cc3333	dog
MN196559	#cc3333	dog
MN196563	#cc3333	dog
KY553255	#3343cc	Civettictis civetta
KX148218	#999ccc	Felis catus
AF079920	#cc999d	Otocyon megalotis
GQ983443	#bacc66	Herpestes
FJ465386	#999ccc	Felis catus
JQ692988	#8f66cc	Felis lybica
JX088729	#c8cc66	Bos taurus
JQ692990	#cc339e	Cynictis penicillata
AF079928	#8f66cc	Felis lybica
AF079934	#cccb99	15763147
GU936878	#cc9566	mongoose
JQ692985	#8f66cc	Felis lybica
MK760726	#b999cc	jackal
MK760742	#cc3333	dog
KX148155	#99aacc	Vulpes vulpes
JQ944708	#99aacc	Vulpes vulpes
U22630	#cc6a66	-
EU853577	#69cc33	Homo sapiens
GU798102	#69cc33	Homo sapiens
U22851	#69cc33	Homo sapiens
GU798257	#33cc3c	Equus asinus
GU798258	#cc4133	Bos
